id,farmer_id,entry_date,entry_type,reference_type,reference_id,debit,credit,balance_after,description,data_source
554de6c2-9ba5-5ef2-996f-148cf8cb5ac7,1a72d6d2-3a5e-5d1e-afcb-7cbd0c3a98a2,2026-06-09,procurement,procurement,f49bc5be-c8d9-51a4-ad13-05721abfeb5d,19330.45,0.00,19330.45,SYNTHETIC procurement SYN-PROC-2026-0001,synthetic
6d9ea615-38bc-5d8c-8f3d-f3833f8588ff,dbd2937a-c59d-5a9d-a0fb-76f4cf8398a2,2026-01-07,procurement,procurement,8c617ca7-f5b2-5994-abcf-c7ba1d7ab997,19593.05,0.00,19593.05,SYNTHETIC procurement SYN-PROC-2026-0002,synthetic
07cf6c51-b65e-5719-a0f0-b9b0fa28d187,2710acc5-cd4c-5876-ad24-d5416cd040b5,2026-03-26,procurement,procurement,78387366-bb75-57b9-9ddb-a744b7cbc898,5649.59,0.00,5649.59,SYNTHETIC procurement SYN-PROC-2026-0003,synthetic
cd5dd312-25d6-5acc-95a4-1a766471c3c5,a7912009-53e9-5087-9ae4-f84f5f952c82,2026-01-13,procurement,procurement,2a6feb6e-28ba-5844-8d20-eb61d3e15a98,10915.05,0.00,10915.05,SYNTHETIC procurement SYN-PROC-2026-0004,synthetic
7b1f1cec-0d48-5662-9b8b-4371a4b36236,b46ad471-88b4-5059-af95-a2291bb6b93f,2026-04-03,procurement,procurement,2007d9e3-53c9-5c39-a4fa-b588e7f073c6,37072.92,0.00,37072.92,SYNTHETIC procurement SYN-PROC-2026-0005,synthetic
d429cff5-b620-557f-b2f7-4ca1217645ad,e23f1a83-3a70-5313-b980-1dc1a498a8f3,2026-02-25,procurement,procurement,3229d067-9932-5e7f-942c-4de28aafe96d,27583.76,0.00,27583.76,SYNTHETIC procurement SYN-PROC-2026-0006,synthetic
a256c79d-9372-5159-94d2-374c11eafc8e,d79ad6b7-b73e-54c2-9ea1-822bb4d4554e,2026-03-07,procurement,procurement,c7cc6180-604b-55f6-8c05-032f31f24b85,22355.28,0.00,22355.28,SYNTHETIC procurement SYN-PROC-2026-0007,synthetic
f4f437a0-ddde-5d90-b987-a7877aab1003,d3672b5a-1ab8-5a43-86e4-2f1f8a684393,2026-04-09,procurement,procurement,70b5f607-cd5e-5177-8c0d-493c543ff1be,40923.89,0.00,40923.89,SYNTHETIC procurement SYN-PROC-2026-0008,synthetic
5ae2dbc3-eb21-54d0-a42c-cc2df22d2ca7,4f82da27-704a-56cf-99b4-1c72eb8cafd6,2026-01-07,procurement,procurement,659afb11-9829-53de-8bb7-d35fd10b5425,25293.90,0.00,25293.90,SYNTHETIC procurement SYN-PROC-2026-0009,synthetic
96d5148f-7196-558d-86c8-3ac077a3aad6,931f529a-503d-533c-bec3-adb440066644,2026-01-25,procurement,procurement,745be72c-02c6-51e8-a076-6ba8dedf52e2,8864.27,0.00,8864.27,SYNTHETIC procurement SYN-PROC-2026-0011,synthetic
