id,payment_number,payee_type,payee_name,payee_id,payment_date,amount,payment_mode_code,category_name,reference_no,notes,data_source
71884c17-bfa7-5d76-996b-71c6732a1ff9,SYN-PAY-2026-001,other,SYN Seeds Store,3428fa0e-df40-59f5-b2b9-04e0e42cf6d7,2026-03-21,5713.51,cash,Fuel,PAY200001,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a6da1242-cdad-58c0-8a0d-476177908689,SYN-PAY-2026-002,other,SYN Fuel Depot,df1e04ff-1545-5482-b707-6c4580e253ea,2026-03-06,6378.54,bank_transfer,Maintenance,PAY200002,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
91104a7e-2a0c-5e11-91ae-2e93adf2233d,SYN-PAY-2026-003,other,SYN Fuel Depot,7ebe5816-96ef-5532-bc54-66a1e724a8e8,2026-03-20,3702.31,cash,Miscellaneous,PAY200003,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
77b5b918-270d-516b-b7ef-59c6ca565f96,SYN-PAY-2026-004,vendor,SYN Transport,9b5d306a-d6b1-5d8c-af9b-4fa54d0a486e,2026-03-14,10678.14,upi,Labor,PAY200004,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
88337f62-1a99-59ff-8ff6-ae5c7962c3cc,SYN-PAY-2026-005,vendor,SYN Seeds Store,07be8232-adc8-5c36-a12c-b4f1f7cbe140,2026-05-15,8158.51,upi,Fuel,PAY200005,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
7649788b-98c2-55d8-875e-7b29cd661e67,SYN-PAY-2026-006,other,SYN Fuel Depot,3428fa0e-df40-59f5-b2b9-04e0e42cf6d7,2026-05-17,3431.27,bank_transfer,Labor,PAY200006,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
23d642e6-33ce-5240-841a-c52f9f34a851,SYN-PAY-2026-007,vendor,SYN Mechanic,0236ae10-2de2-5762-8fdc-4517752735f3,2026-04-04,10364.28,bank_transfer,Miscellaneous,PAY200007,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
be367702-d9eb-56a2-bda2-a38f2b9eaa54,SYN-PAY-2026-008,vendor,SYN Seeds Store,df1e04ff-1545-5482-b707-6c4580e253ea,2026-01-15,2413.19,upi,Miscellaneous,PAY200008,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
59987ad4-9d2b-56d3-b2f2-252ab5a49748,SYN-PAY-2026-009,other,SYN Fuel Depot,0236ae10-2de2-5762-8fdc-4517752735f3,2026-04-22,12200.27,bank_transfer,Fuel,PAY200009,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
8d174682-ff04-5ba8-bb92-b7a5111fd9d5,SYN-PAY-2026-010,worker,SYN Mechanic,3428fa0e-df40-59f5-b2b9-04e0e42cf6d7,2026-06-07,8885.51,cash,Miscellaneous,PAY200010,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
