id,procurement_number,farmer_id,crop_type_id,crop_code,village_id,procurement_date,bag_count,gross_weight_kg,moisture_pct,net_weight_kg,rate_per_quintal,gross_amount,deduction_amount,net_amount,status,notes,data_source
f49bc5be-c8d9-51a4-ad13-05721abfeb5d,SYN-PROC-2026-0001,1a72d6d2-3a5e-5d1e-afcb-7cbd0c3a98a2,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-06-09,20,1022.499,16.42,854.605,2303.01,19681.64,351.19,19330.45,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
8c617ca7-f5b2-5994-abcf-c7ba1d7ab997,SYN-PROC-2026-0002,dbd2937a-c59d-5a9d-a0fb-76f4cf8398a2,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-07,19,1046.425,12.16,919.180,2159.65,19851.07,258.02,19593.05,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
78387366-bb75-57b9-9ddb-a744b7cbc898,SYN-PROC-2026-0003,2710acc5-cd4c-5876-ad24-d5416cd040b5,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-26,5,293.117,12.96,255.129,2226.78,5681.16,31.57,5649.59,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2a6feb6e-28ba-5844-8d20-eb61d3e15a98,SYN-PROC-2026-0004,a7912009-53e9-5087-9ae4-f84f5f952c82,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-13,11,583.283,14.06,501.273,2179.36,10924.54,9.49,10915.05,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2007d9e3-53c9-5c39-a4fa-b588e7f073c6,SYN-PROC-2026-0005,b46ad471-88b4-5059-af95-a2291bb6b93f,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-03,40,2084.180,13.26,1807.818,2065.64,37343.01,270.09,37072.92,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3229d067-9932-5e7f-942c-4de28aafe96d,SYN-PROC-2026-0006,e23f1a83-3a70-5313-b980-1dc1a498a8f3,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-25,23,1421.241,17.13,1177.782,2359.95,27795.07,211.31,27583.76,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c7cc6180-604b-55f6-8c05-032f31f24b85,SYN-PROC-2026-0007,d79ad6b7-b73e-54c2-9ea1-822bb4d4554e,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-07,22,1272.161,16.10,1067.343,2121.42,22642.83,287.55,22355.28,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
70b5f607-cd5e-5177-8c0d-493c543ff1be,SYN-PROC-2026-0008,d3672b5a-1ab8-5a43-86e4-2f1f8a684393,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-09,40,2042.984,13.95,1757.988,2330.49,40969.73,45.84,40923.89,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
659afb11-9829-53de-8bb7-d35fd10b5425,SYN-PROC-2026-0009,4f82da27-704a-56cf-99b4-1c72eb8cafd6,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-07,25,1274.419,15.00,1083.256,2365.40,25623.34,329.44,25293.90,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
13dcd6a3-7fb7-5cd3-bcba-33b435ca0c12,SYN-PROC-2026-0010,931f529a-503d-533c-bec3-adb440066644,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-18,21,1227.622,14.57,1048.757,2275.06,23859.85,172.74,23687.11,draft,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
745be72c-02c6-51e8-a076-6ba8dedf52e2,SYN-PROC-2026-0011,931f529a-503d-533c-bec3-adb440066644,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-25,8,480.444,12.92,418.371,2147.99,8986.57,122.30,8864.27,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
13ba027f-3463-56e0-a391-ffb3e860fb9a,SYN-PROC-2026-0012,b9a7b8f1-c7d2-59de-976e-c64fa2dbf2ef,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-17,21,1293.497,17.16,1071.533,2103.44,22539.05,324.89,22214.16,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
dc1da81e-0ae0-5d13-9da9-c490ac74856b,SYN-PROC-2026-0013,e1718eba-bbf2-599a-a144-583cf98a23d3,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-06-11,12,625.308,12.32,548.270,1800.97,9874.18,142.60,9731.58,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
37e0410e-cc5e-5081-b4cb-68e19326a54c,SYN-PROC-2026-0014,9e0bcbe3-5678-5b4b-a6a5-64520cb23ff4,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-04,24,1434.801,13.02,1247.990,1859.67,23208.50,173.56,23034.94,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e67864bd-3bd7-51ce-9641-9b5389d8f47f,SYN-PROC-2026-0015,fd7b88af-a07a-5185-8b8f-ef310c498b74,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-20,25,1371.012,12.22,1203.474,1908.89,22972.99,452.72,22520.27,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b65233c2-fd59-5d9b-bf55-d575c1747e92,SYN-PROC-2026-0016,d3672b5a-1ab8-5a43-86e4-2f1f8a684393,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-03,10,582.467,16.90,484.030,2393.40,11584.77,123.43,11461.34,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1f64c97a-fee7-5fc5-8931-f0adc2397093,SYN-PROC-2026-0017,62da20c7-3d66-5a59-8ced-4312314e393c,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-06,21,1163.136,15.64,981.222,2389.31,23444.44,435.56,23008.88,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
9649f95b-c09f-5007-987b-62668f6f288e,SYN-PROC-2026-0018,ff0ab9fe-510d-52c8-b082-9fca8e5de48e,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-13,28,1515.735,15.11,1286.707,2136.30,27487.92,123.53,27364.39,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
7dcd5909-c77b-5510-8065-b9596e3c8a09,SYN-PROC-2026-0019,4a3307b7-74ab-512f-8369-aeb5f02cb65c,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-08,5,244.970,15.79,206.289,2168.68,4473.75,81.01,4392.74,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
40e53256-978c-5f67-9d8b-ada36db8d8c6,SYN-PROC-2026-0020,e23f1a83-3a70-5313-b980-1dc1a498a8f3,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-22,36,1835.975,12.79,1601.154,2380.65,38117.87,435.34,37682.53,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
38584087-d1b3-5c60-bf80-0ee1c42942ba,SYN-PROC-2026-0021,ed4fafc7-6f7f-586d-bccc-8e445a6c95a3,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-04,11,629.483,12.71,549.476,1923.33,10568.24,182.58,10385.66,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
53e9fa3e-2100-5804-940c-bdd7873e8751,SYN-PROC-2026-0022,7b13273e-85cd-5a8d-b67c-44f706f6957e,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-02,30,1745.850,13.60,1508.414,1832.78,27645.91,105.93,27539.98,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
77d73096-d818-551b-b2c6-ab36e1de8c45,SYN-PROC-2026-0023,931f529a-503d-533c-bec3-adb440066644,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-15,20,1204.856,12.45,1054.851,2342.41,24708.94,423.00,24285.94,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b2a1e8f3-7e25-57ed-b2ec-2d8469b92c4d,SYN-PROC-2026-0024,7b13273e-85cd-5a8d-b67c-44f706f6957e,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-03,20,1006.567,12.97,876.015,1864.12,16329.97,130.98,16198.99,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
122ead27-8e12-5363-a695-cec4bf7c62ce,SYN-PROC-2026-0025,b9a7b8f1-c7d2-59de-976e-c64fa2dbf2ef,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-09,34,1767.779,16.18,1481.752,2319.15,34364.05,538.39,33825.66,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
050ae9e3-44f4-57f8-afb7-c3e7ce2ce36b,SYN-PROC-2026-0026,777fa239-e1b9-5891-bef8-b6500c7b8824,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-07,8,448.868,15.25,380.416,2324.39,8842.35,10.11,8832.24,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4549a532-e0d6-585b-9984-b495a4372e9c,SYN-PROC-2026-0027,9e0bcbe3-5678-5b4b-a6a5-64520cb23ff4,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-06,8,491.607,12.16,431.828,1855.75,8013.65,95.37,7918.28,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a4a515ea-5755-5c0d-913a-dc819ac6c1dc,SYN-PROC-2026-0028,d3672b5a-1ab8-5a43-86e4-2f1f8a684393,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-08,7,396.699,14.52,339.098,2275.10,7714.82,80.66,7634.16,draft,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
cdcb6e29-8310-5aaa-8485-8ff7e49a3c4a,SYN-PROC-2026-0029,c35fb433-6404-5672-b66f-5f62d0b4dc15,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-08,21,1124.361,13.34,974.371,1890.00,18415.61,116.45,18299.16,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3a390579-9021-5fbb-9681-a9430c5e90b0,SYN-PROC-2026-0030,e23f1a83-3a70-5313-b980-1dc1a498a8f3,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-19,11,539.282,13.28,467.665,2179.56,10193.04,190.26,10002.78,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b34e8c3d-fd0a-5753-b06a-dca2098b6501,SYN-PROC-2026-0031,d3672b5a-1ab8-5a43-86e4-2f1f8a684393,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-15,39,2256.133,15.67,1902.597,2396.17,45589.46,596.29,44993.17,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1a1fdc96-7842-5f3b-9186-046cecf2c506,SYN-PROC-2026-0032,80552a75-5918-5180-8b53-f814269fbab3,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-06-04,13,672.133,17.34,555.585,2322.73,12904.74,40.12,12864.62,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
635e016a-d0c0-519c-9b7e-772d41d54f22,SYN-PROC-2026-0033,c35fb433-6404-5672-b66f-5f62d0b4dc15,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-22,21,1156.590,12.50,1012.016,2072.45,20973.53,21.31,20952.22,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
126fcd62-a601-5fe6-9517-886c7ce6c698,SYN-PROC-2026-0034,41a010ef-e1a9-552a-824a-ac8b5bc6a4e6,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-25,13,739.955,13.57,639.543,2322.37,14852.55,163.88,14688.67,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a3719ec7-2546-595d-95ed-43b959d94586,SYN-PROC-2026-0035,adee696a-53c2-50bd-acba-1bdee1019dac,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-06-05,39,1891.671,14.22,1622.675,2265.76,36765.92,316.03,36449.89,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ce38a391-7244-5107-b31e-5ae609e010aa,SYN-PROC-2026-0036,d79ad6b7-b73e-54c2-9ea1-822bb4d4554e,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-01-12,18,1035.881,13.33,897.798,1906.10,17112.93,191.62,16921.31,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e92503db-7edf-51df-a381-ef6938749921,SYN-PROC-2026-0037,57090268-e509-52e9-a8dc-76a310543e4d,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-28,15,925.003,13.62,799.018,2064.42,16495.09,8.18,16486.91,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
540badd8-f6f8-53bb-a5db-fca26447be2e,SYN-PROC-2026-0038,d8b6ba35-39d2-5f67-9971-e2203da0de0c,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-26,20,1034.706,13.57,894.296,1832.43,16387.35,285.85,16101.50,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d556dc8e-5eee-5e96-9498-403bf890c0a5,SYN-PROC-2026-0039,2710acc5-cd4c-5876-ad24-d5416cd040b5,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-04-12,24,1427.700,17.23,1181.707,2166.88,25606.17,338.02,25268.15,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1da73120-0536-54e3-a5a6-ef50397c26a2,SYN-PROC-2026-0040,41a010ef-e1a9-552a-824a-ac8b5bc6a4e6,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-12,37,1983.033,13.96,1706.202,1960.86,33456.23,628.47,32827.76,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
36232b62-5068-5404-8e1b-ea11feabdaa1,SYN-PROC-2026-0041,a5160272-e428-5c25-b4ca-55b56dd6a1c2,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-03-02,11,619.872,14.07,532.656,2335.93,12442.47,108.60,12333.87,draft,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
89af8d1c-402e-5776-acdb-c13bc1c751bd,SYN-PROC-2026-0042,b46ad471-88b4-5059-af95-a2291bb6b93f,545639a0-04e6-569d-b274-0e961b102b71,PADDY,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-07,21,1021.050,14.62,871.772,2255.98,19667.00,317.23,19349.77,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
9c1d3c2c-0637-52f8-8a7b-310b4e17dfda,SYN-PROC-2026-0043,1867c2f1-cf69-59b2-a42e-d546b2128fb4,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-02-12,32,1567.348,13.33,1358.421,1899.06,25797.23,161.96,25635.27,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e998e30b-92fa-5bf6-9e8e-132527910a87,SYN-PROC-2026-0044,a644c1da-b85e-589a-b228-ad30545a278e,9f8db97a-41f6-5609-9d0d-82930861f14c,CORN,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,2026-05-10,31,1629.563,13.39,1411.365,1966.32,27751.95,106.48,27645.47,confirmed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
