id,agreement_number,customer_id,asset_id,start_datetime,end_datetime,rate_type,hourly_rate,total_hours,revenue,collected_amount,status,notes,data_source
ed6281ff-e6ab-5e4e-bc97-3c65994566bb,SYN-RNT-AGR-001,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,84535445-aae0-5c57-9a29-1259d4679436,2026-01-11T00:00:00+00:00,2026-01-11T05:00:00+00:00,hourly,900.00,5.00,4500.00,2700.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4be024b3-3c68-50c3-8ee3-a2f01cd326f7,SYN-RNT-AGR-002,c6e1c84d-a86e-5139-8308-bef65cd5ec2a,6253b5aa-3b5a-5d36-a127-dde27d77bd13,2026-01-21T00:00:00+00:00,2026-01-21T06:00:00+00:00,hourly,900.00,6.00,5400.00,3240.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a27052d4-c043-5aff-baf5-0e45472343de,SYN-RNT-AGR-003,b28a039f-237e-5854-a44c-642496187049,046e7255-a79e-557a-93a0-a798d33aeea5,2026-01-31T00:00:00+00:00,2026-01-31T07:00:00+00:00,hourly,900.00,7.00,6300.00,3780.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
32e8c241-3439-5e00-a25c-9d033dd9a3d7,SYN-RNT-AGR-004,970d2201-9251-5a79-a9e4-7e2d52e74a09,83a8aaab-e693-5302-b3f1-8de53c729ff6,2026-02-10T00:00:00+00:00,2026-02-10T08:00:00+00:00,hourly,600.00,8.00,4800.00,2880.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d1393ab1-fb80-5e46-bfc9-3c47981d827f,SYN-RNT-AGR-005,75d38557-f44e-5d63-ab25-9514abe8557b,6ea443c5-d83a-506c-b8ca-31cf2a41418c,2026-02-20T00:00:00+00:00,2026-02-20T09:00:00+00:00,hourly,600.00,9.00,5400.00,3240.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2a2603d5-f658-5e83-a1a8-27b7993178e6,SYN-RNT-AGR-006,e73f3453-af9f-514d-bdfa-0e81412387d7,84535445-aae0-5c57-9a29-1259d4679436,2026-03-02T00:00:00+00:00,2026-03-02T04:00:00+00:00,hourly,900.00,4.00,3600.00,2160.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
cea3d1b9-002e-5ff1-8629-78a4c83bf877,SYN-RNT-AGR-007,96d38e7f-a2da-55be-96ac-5d1691682796,6253b5aa-3b5a-5d36-a127-dde27d77bd13,2026-03-12T00:00:00+00:00,2026-03-12T05:00:00+00:00,hourly,900.00,5.00,4500.00,2700.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
037729a0-cdaf-56f3-a855-9e7d7dcec76c,SYN-RNT-AGR-008,f63fb31e-845f-5f3d-b356-b2d6dfb5024d,046e7255-a79e-557a-93a0-a798d33aeea5,2026-03-22T00:00:00+00:00,2026-03-22T06:00:00+00:00,hourly,900.00,6.00,5400.00,3240.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
cd69e557-f8cd-5adb-be06-3a623a37b31c,SYN-RNT-AGR-009,a5e0b167-2c60-50ac-8775-e32b8ae5b3e2,83a8aaab-e693-5302-b3f1-8de53c729ff6,2026-04-01T00:00:00+00:00,2026-04-01T07:00:00+00:00,hourly,600.00,7.00,4200.00,2520.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
13e0088f-bc54-5031-b213-cff4c4a57093,SYN-RNT-AGR-010,6eebdd59-0221-534e-8aef-061ce4aee634,6ea443c5-d83a-506c-b8ca-31cf2a41418c,2026-04-11T00:00:00+00:00,2026-04-11T08:00:00+00:00,hourly,600.00,8.00,4800.00,2880.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
639f5f62-aabe-5a2e-a0d6-cf9e6fc87c44,SYN-RNT-AGR-011,bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,84535445-aae0-5c57-9a29-1259d4679436,2026-04-21T00:00:00+00:00,2026-04-21T09:00:00+00:00,hourly,900.00,9.00,8100.00,4860.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
571ce96d-f9e0-5d35-8e9a-f13f0ad6392b,SYN-RNT-AGR-012,c6e1c84d-a86e-5139-8308-bef65cd5ec2a,6253b5aa-3b5a-5d36-a127-dde27d77bd13,2026-05-01T00:00:00+00:00,2026-05-01T04:00:00+00:00,hourly,900.00,4.00,3600.00,2160.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
da1a0d04-d5ee-56c3-a447-c82d4fb4742b,SYN-RNT-AGR-013,b28a039f-237e-5854-a44c-642496187049,046e7255-a79e-557a-93a0-a798d33aeea5,2026-05-11T00:00:00+00:00,2026-05-11T05:00:00+00:00,hourly,900.00,5.00,4500.00,2700.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b4b8e9a8-54c0-5d5c-bfe2-7c00db65e4fa,SYN-RNT-AGR-014,970d2201-9251-5a79-a9e4-7e2d52e74a09,83a8aaab-e693-5302-b3f1-8de53c729ff6,2026-05-21T00:00:00+00:00,2026-05-21T06:00:00+00:00,hourly,600.00,6.00,3600.00,2160.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
59c30f0d-fce0-5555-b5c5-f993a79be7ca,SYN-RNT-AGR-015,75d38557-f44e-5d63-ab25-9514abe8557b,6ea443c5-d83a-506c-b8ca-31cf2a41418c,2026-05-31T00:00:00+00:00,2026-05-31T07:00:00+00:00,hourly,600.00,7.00,4200.00,2520.00,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
